Library Card #,First Name,Last Name,Address,Postal Code,Phone #,Birth Date,Email,Preferred method of notification,Preferred language of reading,Receive fundraising info 
27131033769573,Perry ,Lester  ,46 Main Street,M4P 1Y2,416-846-3484,1/3/1975,plester@gmail.com,Phone,English,Yes
27131033769581,Andre ,Angers  ,2846 Bayview Avenue,M2N 4T3,647-561-5443,6/8/1984,aangers@hotmail.com,Email,Chinese,No
27131033769599,Mi ,Wherry  ,730 Erskine Avenue,M9W 1M1,416-874-3165,12/16/1968,miwherry@outlook.com,Email,Estonian,No
27131033769607,Tegan ,Vanfleet  ,4739 Yonge Street,MR1 8Y5,416-751-3358,1/30/1992,teganvf@yahoo.com,Phone,French,Yes
27131033769615,Elda ,Brenton  ,4 Orchard View Blvd,MG5 1C4,416-754-5454,9/23/1945,eldabrenton@gmail.com,Phone,Korean,Yes
27131033769623,Renaldo ,Mcnair  ,584 Letter Road,M1N 9F2,647-563-3215,7/22/1966,rmcnair@hotmail.com,Email,Spanish,Yes
27131033769631,Emilie ,Cienfuegos  ,85 Gildan Street ,M7X 2B6,647-795-3965,1/26/1977,emiliec@outlook.com,Phone,Albanian,No
27131033769649,Seth ,Noguera  ,453 Kingston Road,M7Y 4P9,647-895-3564,7/12/1988,snoguera@yahoo.com,Email,Latvian,No
27131033769565,Georgianne ,Dials  ,876 Dawes Road,M2N 5B6,647-856-7512,9/21/1979,dialsg@gmail.com,Email,English,Yes
27131033769557,Kenton,Zerbe  ,2346 Danforth Road,M4N 2X4,416-765-9761,3/5/2001,kentonz@hotmail.com,Phone,Persian,Yes
27131020221703,Chang,Dixion  ,568 Vaughan Road,M2R 3S3,416-744-9568,7/1/1944,dixionchang@yahoo.com,Phone,English,Yes
27131023670682,Jann ,Joerling  ,45 Bermondsey Road,M2K 5L5,416-312-7316,12/7/1996,jannj@gmail.com,Email,English,No
27131023670690,Laurel ,Loza  ,87 Black Creek Drive,M3C 8B3,416-795-7848,8/11/1992,lozalaurel@hotmail.com,Phone,Chinese,No
27131023670708,Guy ,Eberly  ,123 Trethewey Drive,M4P 8T3,416-798-5654,7/14/1956,guy@outlook.com,Email,Estonian,Yes
27131023670716,Alberta ,Whitacre  ,989 Rexdale Boulevard,M5R 2G8,647-845-6211,9/8/1947,alberta@yahoo.com,Email,French,Yes
27131023670724,Jimmie ,Delillo  ,112 Albion Road,M7B V7T,647-431-6597,6/24/1999,jimmied@gmail.com,Phone,Korean,Yes
27131023671870,Rubye ,Luper  ,475 Marlow Ave,M1T 4P5,647-764-7878,12/9/1966,luperrubye@outlook.com,Phone,Spanish,No
27131023671862,Arnulfo ,Dederick  ,475 Pelham Avenue,M4R 3C8,416-761-2214,12/7/1955,dederick@yahoo.com,Email,Albanian,No
27131023671854,Tod ,Stice  ,7642 Sunrise Avenue,MK2 4L4,647-754-3316,1/14/2005,tods@outlook.com,Phone,Latvian,Yes
27131023671847,Emory ,Hoelscher  ,88 York Road,M8H J7T,647-798-3215,6/22/1974,hoelscheremory@gmail.com,Email,English,Yes
